id;career_path_id;challenge_name;task_description;difficulty_level;estimated_time;tools_used;skills_needed;compensation;domain;tags;is_ai_generated;is_active;created_at
51be6568-a1e3-478a-ba45-82b34eec7725;;Design a Curriculum;Create a 4-week coding bootcamp curriculum for beginners;intermediate;4-6 hours;"[""Google Docs"",""Notion""]";"[""Curriculum Design"",""Teaching"",""Technical Knowledge""]";₹5,000-10,000;Education;"[""education"",""curriculum"",""teaching""]";true;true;2026-04-04 06:33:55.140381+00
084f098a-fee0-4a11-956c-0a7cc493e65c;;Conduct Environmental Impact Assessment;Assess environmental impact of a proposed highway project;advanced;8-12 hours;"[""GIS Software"",""Excel"",""Field tools""]";"[""Environmental Science"",""GIS"",""Report Writing""]";₹12,000-25,000;Environmental Science;"[""environment"",""assessment"",""science""]";true;true;2026-04-04 06:33:55.140381+00
7b1c2feb-6737-4dfa-b2bc-14f473bb7ce0;;Create a Physiotherapy Plan;Design a 6-week rehabilitation plan for a knee injury patient;intermediate;2-3 hours;"[""Documentation tools""]";"[""Anatomy"",""Rehabilitation"",""Patient Care""]";₹4,000-8,000;Healthcare;"[""healthcare"",""physiotherapy"",""rehabilitation""]";true;true;2026-04-04 06:33:55.140381+00
96d5cac0-06c6-4014-bd7e-c6e176616f2c;;Write a Documentary Script;Write a 10-minute documentary script about street food culture in India;intermediate;4-6 hours;"[""Final Draft"",""Google Docs""]";"[""Scriptwriting"",""Storytelling"",""Research""]";₹5,000-10,000;Film & Media;"[""film"",""writing"",""documentary""]";true;true;2026-04-04 06:33:55.140381+00
a87de649-f760-4419-b969-41856be85044;;Design a Supply Chain Process;Map and optimize the supply chain for a D2C skincare brand;advanced;5-8 hours;"[""Lucidchart"",""Excel"",""ERP basics""]";"[""Supply Chain Management"",""Operations"",""Analytics""]";₹8,000-15,000;Operations;"[""operations"",""supply-chain"",""logistics""]";true;true;2026-04-04 06:33:55.140381+00
54158ef1-d6bb-4bad-9d6f-9ffc29e3e5d8;;Create a Social Work Case Study;Document a community development intervention in a rural village;beginner;3-4 hours;"[""Documentation tools"",""Camera""]";"[""Social Work"",""Community Engagement"",""Documentation""]";₹2,000-5,000;Social Work;"[""social-work"",""community"",""documentation""]";true;true;2026-04-04 06:33:55.140381+00
7e9bd54b-b023-4c9f-81f3-dc43371749a7;;Build a Blockchain Smart Contract;Create a simple token contract on Ethereum testnet;advanced;4-6 hours;"[""Solidity"",""Remix"",""MetaMask""]";"[""Blockchain"",""Smart Contracts"",""Solidity""]";₹10,000-18,000;Blockchain;"[""blockchain"",""web3"",""smart-contracts""]";true;true;2026-04-04 06:33:55.140381+00
30a3ab89-6b4d-441d-8303-fa4a0c9c36b5;;Design a Museum Exhibition;Plan the layout and narrative flow for a heritage museum exhibition;intermediate;4-6 hours;"[""SketchUp"",""Canva"",""Research""]";"[""Curation"",""Design Thinking"",""History""]";₹5,000-10,000;Museum Studies;"[""museum"",""curation"",""heritage""]";true;true;2026-04-04 06:33:55.140381+00
d240504e-f71f-443a-b377-bade662568d7;;Develop a Nutrition Plan;Create a personalized nutrition plan for a diabetic patient;intermediate;2-3 hours;"[""Nutrition databases"",""Spreadsheets""]";"[""Nutrition Science"",""Dietetics"",""Health Assessment""]";₹3,000-7,000;Nutrition & Dietetics;"[""nutrition"",""health"",""dietetics""]";true;true;2026-04-04 06:33:55.140381+00
48b5d743-ccc3-49b4-ae44-ac7ae7160f49;;Create a Sound Design Project;Design the soundscape for a 2-minute animated short film;intermediate;3-5 hours;"[""Audacity"",""Pro Tools"",""Sound libraries""]";"[""Sound Design"",""Audio Engineering"",""Creativity""]";₹4,000-8,000;Audio Engineering;"[""audio"",""sound-design"",""music""]";true;true;2026-04-04 06:33:55.140381+00
5c60aced-02b0-410c-960e-ed3842a96a3c;;Translate and Localize Content;Translate and culturally adapt a mobile app interface from English to Hindi;beginner;3-4 hours;"[""Translation tools"",""Figma""]";"[""Translation"",""Cultural Sensitivity"",""Linguistics""]";₹3,000-6,000;Linguistics;"[""linguistics"",""translation"",""localization""]";true;true;2026-04-04 06:33:55.140381+00
ee7df937-663e-452f-9207-10113034e5cc;;Create a Forestry Management Plan;Draft a sustainable forest management plan for a 100-hectare area;advanced;6-8 hours;"[""GIS"",""Field guides"",""Excel""]";"[""Forestry"",""Ecology"",""Environmental Planning""]";₹8,000-15,000;Forestry;"[""forestry"",""ecology"",""sustainability""]";true;true;2026-04-04 06:33:55.140381+00
1028df1d-96ad-4c02-9c52-6773e502f13e;;Design an Occupational Therapy Program;Create a return-to-work program for someone with chronic back pain;intermediate;3-4 hours;"[""Assessment tools"",""Documentation""]";"[""Occupational Therapy"",""Ergonomics"",""Patient Care""]";₹4,000-8,000;Occupational Therapy;"[""ot"",""rehabilitation"",""healthcare""]";true;true;2026-04-04 06:33:55.140381+00
53e15e5c-01a2-438a-9690-750a69958cb4;;Build a Data Dashboard;Create an interactive dashboard for tracking COVID vaccination data;intermediate;4-6 hours;"[""Tableau"",""Power BI"",""Python""]";"[""Data Visualization"",""Analytics"",""Storytelling""]";₹5,000-12,000;Data Science;"[""data"",""visualization"",""analytics""]";true;true;2026-04-04 06:33:55.140381+00
dba2e1b4-52ef-4acd-b215-bb746f7e8e60;;Plan an Urban Garden;Design a community urban garden for a housing society in Mumbai;beginner;2-3 hours;"[""SketchUp"",""Research tools""]";"[""Urban Planning"",""Horticulture"",""Community Design""]";₹2,000-5,000;Urban Planning;"[""urban-planning"",""sustainability"",""community""]";true;true;2026-04-04 06:33:55.140381+00
0fffad65-ae08-437f-b3cd-f5f66f992fe8;;Create an Archaeological Report;Document and analyze pottery fragments from a simulated excavation;advanced;5-7 hours;"[""Documentation tools"",""Reference databases""]";"[""Archaeology"",""Analysis"",""Documentation""]";₹6,000-12,000;Archaeology;"[""archaeology"",""history"",""research""]";true;true;2026-04-04 06:33:55.140381+00
dfa2cc5b-bd7a-4f32-a1d4-6239ab3670ae;;Design a Veterinary Treatment Plan;Create a treatment protocol for a dog with skin allergies;intermediate;2-3 hours;"[""Medical references"",""Documentation""]";"[""Veterinary Medicine"",""Diagnosis"",""Animal Care""]";₹4,000-8,000;Veterinary Science;"[""veterinary"",""animal-care"",""medicine""]";true;true;2026-04-04 06:33:55.140381+00
cbeebe59-5fbc-48d5-83de-153c747c7700;;Create a Fashion Collection Mood Board;Design a mood board for a sustainable fashion collection inspired by Indian textiles;beginner;2-3 hours;"[""Canva"",""Pinterest"",""Photoshop""]";"[""Fashion Design"",""Visual Storytelling"",""Textile Knowledge""]";₹2,000-5,000;Fashion Design;"[""fashion"",""design"",""sustainability""]";true;true;2026-04-04 06:33:55.140381+00
09251432-a20f-4178-a993-2ac9987c7939;;Develop a Sports Training Program;Create a 4-week training program for a college-level cricket batsman;intermediate;3-4 hours;"[""Spreadsheets"",""Video analysis tools""]";"[""Sports Science"",""Coaching"",""Physical Training""]";₹4,000-8,000;Sports Science;"[""sports"",""coaching"",""fitness""]";true;true;2026-04-04 06:33:55.140381+00
fee52897-a836-407c-82c0-4bf599f684a8;;Write a Grant Proposal;Draft a grant proposal for an NGO working on child education in rural India;intermediate;4-6 hours;"[""Word"",""Research tools""]";"[""Grant Writing"",""Fundraising"",""Research""]";₹5,000-10,000;Nonprofit Management;"[""nonprofit"",""grants"",""writing""]";true;true;2026-04-04 06:33:55.140381+00
e7cc3a65-1464-45a5-ab5b-75619b3e8c3b;;Create a Cybersecurity Audit Report;Perform a basic security audit of a small business website;advanced;5-8 hours;"[""Nmap"",""OWASP ZAP"",""Burp Suite""]";"[""Cybersecurity"",""Penetration Testing"",""Report Writing""]";₹10,000-20,000;Cybersecurity;"[""security"",""audit"",""hacking""]";true;true;2026-04-04 06:33:55.140381+00
5facd4fb-07dc-4eb7-9c94-94853fc7cdc1;;Design a Packaging Solution;Create eco-friendly packaging for a food startup;beginner;2-4 hours;"[""Illustrator"",""Canva"",""3D tools""]";"[""Packaging Design"",""Sustainability"",""Branding""]";₹3,000-6,000;Industrial Design;"[""design"",""packaging"",""sustainability""]";true;true;2026-04-04 06:33:55.140381+00
985b7538-c608-404e-b432-a6c588a26467;;Build a Chatbot;Create a customer service chatbot for a local restaurant;intermediate;4-6 hours;"[""Dialogflow"",""Python"",""APIs""]";"[""Conversational AI"",""Programming"",""UX Writing""]";₹5,000-10,000;Conversational AI;"[""ai"",""chatbot"",""nlp""]";true;true;2026-04-04 06:33:55.140381+00
05aa26df-7c56-48ae-a416-062c552d3277;;Create a Marine Conservation Plan;Draft a conservation strategy for a coastal mangrove ecosystem;advanced;6-8 hours;"[""GIS"",""Research databases"",""Field guides""]";"[""Marine Biology"",""Conservation"",""Ecology""]";₹8,000-15,000;Marine Biology;"[""marine"",""biology"",""conservation""]";true;true;2026-04-04 06:33:55.140381+00
2162f683-93ce-4023-82bd-fe961605a12b;;Design a Hospice Care Program;Create a palliative care program for elderly patients;intermediate;3-5 hours;"[""Documentation tools"",""Care planning software""]";"[""Palliative Care"",""Empathy"",""Healthcare Management""]";₹5,000-10,000;Palliative Care;"[""healthcare"",""care"",""elderly""]";true;true;2026-04-04 06:33:55.140381+00
083c328d-5f06-4f00-a487-527210221335;;Write a Food Safety Protocol;Develop FSSAI-compliant food safety protocols for a cloud kitchen;intermediate;3-4 hours;"[""Documentation"",""FSSAI guidelines""]";"[""Food Safety"",""Regulatory Compliance"",""Quality Control""]";₹4,000-8,000;Food Science;"[""food"",""safety"",""compliance""]";true;true;2026-04-04 06:33:55.140381+00
bb67d417-ee42-4bb1-9582-3479691955ba;;Create a Library Catalog System;Design a digital cataloging system for a school library;beginner;3-4 hours;"[""Spreadsheets"",""Database tools""]";"[""Library Science"",""Organization"",""Database Design""]";₹2,000-5,000;Library Science;"[""library"",""archival"",""organization""]";true;true;2026-04-04 06:33:55.140381+00
cc42971b-b838-4eeb-a419-5ec4546f3beb;;Develop a Crisis Communication Plan;Create a crisis communication strategy for a hospital during a pandemic;advanced;4-6 hours;"[""Documentation tools"",""Social media""]";"[""Crisis Communication"",""PR"",""Strategic Planning""]";₹8,000-15,000;Communications;"[""communications"",""crisis"",""strategy""]";true;true;2026-04-04 06:33:55.140381+00
6ebc405e-e1f1-4ce7-8a39-a5d067dd76e3;;Design an Assistive Technology Device;Conceptualize a low-cost assistive device for visually impaired students;advanced;6-10 hours;"[""CAD tools"",""Prototyping""]";"[""Assistive Technology"",""Engineering"",""User-Centered Design""]";₹10,000-20,000;Assistive Technology;"[""accessibility"",""engineering"",""design""]";true;true;2026-04-04 06:33:55.140381+00
7c69f29f-88c5-4625-95ce-a204f3e1a4f6;;Create a Tourism Itinerary;Design a 7-day sustainable tourism itinerary for Northeast India;beginner;2-3 hours;"[""Google Maps"",""Documentation"",""Research""]";"[""Tourism Management"",""Research"",""Cultural Sensitivity""]";₹2,000-4,000;Tourism & Hospitality;"[""tourism"",""travel"",""hospitality""]";true;true;2026-04-04 06:33:55.140381+00
b35ed8b6-bb67-414f-8775-4d75216b432f;;Build a Climate Data Analysis;Analyze 10 years of rainfall data to predict monsoon patterns;advanced;5-8 hours;"[""Python"",""R"",""Jupyter""]";"[""Climatology"",""Data Science"",""Statistical Analysis""]";₹8,000-15,000;Climate Science;"[""climate"",""data"",""science""]";true;true;2026-04-04 06:33:55.140381+00
48cebc22-f8ec-4af7-a535-59a1294b19f5;;Create a Puppet Show Script;Write and plan a puppet show for children on environmental awareness;beginner;2-3 hours;"[""Documentation"",""Art supplies""]";"[""Performing Arts"",""Storytelling"",""Education""]";₹1,500-3,000;Performing Arts;"[""arts"",""theater"",""education""]";true;true;2026-04-04 06:33:55.140381+00
71cad832-b7f0-4d3e-bbe2-ec393523a9f4;;Design a Textile Pattern;Create a block print textile pattern inspired by Rajasthani motifs;intermediate;3-5 hours;"[""Illustrator"",""Photoshop"",""Hand drawing""]";"[""Textile Design"",""Pattern Making"",""Cultural Arts""]";₹4,000-8,000;Textile Design;"[""textile"",""design"",""crafts""]";true;true;2026-04-04 06:33:55.140381+00
347ac703-6398-4cbf-abdc-90565fae450c;;Build a Robotics Prototype;Design and code a line-following robot using Arduino;intermediate;4-6 hours;"[""Arduino"",""C++"",""Electronics""]";"[""Robotics"",""Programming"",""Electronics""]";₹5,000-10,000;Robotics;"[""robotics"",""engineering"",""coding""]";true;true;2026-04-04 06:33:55.140381+00
399fc006-1cc8-44a8-9aa6-eec857beaf9e;;Create a Mental Health Workshop;Design a 2-hour workshop on stress management for college students;beginner;2-3 hours;"[""Presentation tools"",""Activity sheets""]";"[""Psychology"",""Workshop Facilitation"",""Empathy""]";₹2,000-5,000;Psychology;"[""psychology"",""mental-health"",""wellness""]";true;true;2026-04-04 06:33:55.140381+00
f3aa916c-e35f-4889-aebc-dc1a96bc0f89;;Write a Journalism Feature;Write a 1500-word investigative feature on water pollution in the Yamuna;intermediate;4-6 hours;"[""Documentation"",""Research tools"",""Camera""]";"[""Investigative Journalism"",""Writing"",""Research""]";₹5,000-10,000;Journalism;"[""journalism"",""writing"",""investigation""]";true;true;2026-04-04 06:33:55.140381+00
3931930e-6757-459e-b92c-5ac7d5cb8ec5;;Design a Game Level;Create a puzzle game level design document with mechanics and flow;intermediate;3-5 hours;"[""Unity"",""Figma"",""Game design tools""]";"[""Game Design"",""Level Design"",""Creative Thinking""]";₹5,000-10,000;Game Design;"[""gaming"",""design"",""creative""]";true;true;2026-04-04 06:33:55.140381+00
444651ff-d1f1-43b5-a875-982400bf087d;;Create a Geospatial Analysis;Map and analyze urban heat islands in Delhi using satellite data;advanced;6-8 hours;"[""QGIS"",""Python"",""Satellite data""]";"[""GIS"",""Remote Sensing"",""Data Analysis""]";₹8,000-15,000;Geospatial Science;"[""gis"",""mapping"",""science""]";true;true;2026-04-04 06:33:55.140381+00
a2371092-83d6-4210-9230-5fe6775d8cd2;;Plan a Community Radio Program;Create a weekly program schedule for a community radio station;beginner;2-3 hours;"[""Documentation"",""Audio tools""]";"[""Broadcasting"",""Community Engagement"",""Content Planning""]";₹1,500-3,000;Broadcasting;"[""media"",""radio"",""community""]";true;true;2026-04-04 06:33:55.140381+00
a3f8269d-d8aa-4a7e-a44b-57772b6772e5;;Develop a Waste Management System;Design a waste segregation and recycling system for a residential complex;intermediate;3-5 hours;"[""Documentation"",""Design tools""]";"[""Environmental Management"",""Systems Thinking"",""Community Planning""]";₹4,000-8,000;Waste Management;"[""environment"",""sustainability"",""management""]";true;true;2026-04-04 06:33:55.140381+00
