id;title;description;category;icon_emoji;tags;skills_related;difficulty;created_at
82dbb506-d3b4-4035-aba8-f275c56f321a;Psychology;Understand human behavior and help others thrive;Social Science;🧠;"[""empathy"",""research"",""counseling""]";"[""Active Listening"",""Research Methods"",""Therapy Techniques""]";beginner;2026-03-08 10:57:16.188648+00
ea5a24de-ebe4-4e3b-af69-cce0b9afbf31;Law;Advocate for justice and navigate complex systems;Professional;⚖️;"[""advocacy"",""analysis"",""ethics""]";"[""Legal Research"",""Argumentation"",""Writing""]";beginner;2026-03-08 10:57:16.188648+00
2a0aef66-5ba8-450c-898a-d9363726e681;Arts & Entertainment;Express creativity and move audiences;Creative;🎭;"[""performance"",""creativity"",""expression""]";"[""Performance"",""Creativity"",""Collaboration""]";beginner;2026-03-08 10:57:16.188648+00
fb53e5ce-34bd-4bd6-8db2-d54abf46a029;Architecture;Design spaces that inspire and function beautifully;Design;🏛️;"[""design"",""spatial"",""technical""]";"[""CAD"",""Design Principles"",""Project Management""]";beginner;2026-03-08 10:57:16.188648+00
ed57d68d-3a1a-4f11-8a1c-8cbfc2e6cc2d;Journalism;Uncover truth and inform the public;Media;📰;"[""research"",""writing"",""investigation""]";"[""Investigative Research"",""Writing"",""Interviewing""]";beginner;2026-03-08 10:57:16.188648+00
d6a94cf6-f4c5-452c-b4af-0bcbf74f4d45;Human Resources;Build teams and nurture talent;Business;👥;"[""people"",""organization"",""development""]";"[""Recruiting"",""Employee Relations"",""Training""]";beginner;2026-03-08 10:57:16.188648+00
d12f2c7c-3871-4fb4-8a7b-931a01f55e2f;Cybersecurity;Protect systems and data from threats;Technology;🔐;"[""security"",""technical"",""analysis""]";"[""Network Security"",""Ethical Hacking"",""Risk Assessment""]";beginner;2026-03-08 10:57:16.188648+00
374792b2-a410-40bc-964c-cb64f63595d4;Consulting;Solve complex business challenges for clients;Business;💼;"[""strategy"",""analysis"",""communication""]";"[""Problem Solving"",""Presentation"",""Industry Knowledge""]";beginner;2026-03-08 10:57:16.188648+00
d7404e7d-90c5-4fb5-83ce-b5b4fbdd405f;Research & Academia;Push the boundaries of human knowledge;Science;🔬;"[""research"",""analysis"",""discovery""]";"[""Research Methods"",""Academic Writing"",""Critical Thinking""]";beginner;2026-03-08 10:57:16.188648+00
7ac7ceb8-7d77-4b2a-becf-49c8dd41fd40;Non-Profit & NGO;Drive social change and community impact;Social Impact;🤝;"[""service"",""advocacy"",""community""]";"[""Fundraising"",""Community Organizing"",""Grant Writing""]";beginner;2026-03-08 10:57:16.188648+00
aac212a8-fbdc-4f8f-91d5-9dea9b572fb7;Sports & Fitness;Inspire health and athletic achievement;Health;🏃;"[""fitness"",""coaching"",""wellness""]";"[""Training"",""Nutrition"",""Motivation""]";beginner;2026-03-08 10:57:16.188648+00
b5251838-5f1a-4c44-9b46-467eebaf0b4f;Hospitality & Tourism;Create memorable experiences for travelers;Service;✈️;"[""service"",""travel"",""culture""]";"[""Customer Service"",""Event Planning"",""Languages""]";beginner;2026-03-08 10:57:16.188648+00
cce8a6c5-eed6-4c1e-ad45-0656ed14f5f8;Agriculture & Food;Feed the world sustainably;Science;🌾;"[""sustainability"",""science"",""nature""]";"[""Agronomy"",""Supply Chain"",""Sustainability""]";beginner;2026-03-08 10:57:16.188648+00
9d4d3f39-84fe-422d-8c67-001b7c0ee3ec;Marine Biology;Explore underwater worlds and study ocean life;Science;🐠;"[""marine"",""biology"",""ocean"",""conservation""]";"[""Research"",""Diving"",""Ecology""]";intermediate;2026-04-04 06:38:26.987759+00
46695093-44bc-4a2e-8797-3d8a91869c6c;Archaeology;Uncover ancient civilizations through excavation;Humanities;🏺;"[""archaeology"",""history"",""excavation"",""culture""]";"[""Field Work"",""Analysis"",""Documentation""]";advanced;2026-04-04 06:38:26.987759+00
02d82c8c-576f-4675-b116-8d0a91359c49;Textile Design;Create patterns and fabrics for fashion and interiors;Design;🧵;"[""textile"",""fashion"",""design"",""craft""]";"[""Pattern Making"",""Color Theory"",""CAD""]";beginner;2026-04-04 06:38:26.987759+00
cd0382e3-695d-45a5-ab8d-f39d39cab335;Criminology;Study criminal behavior and justice systems;Social Science;🔍;"[""criminology"",""law"",""forensics"",""justice""]";"[""Analysis"",""Research"",""Psychology""]";intermediate;2026-04-04 06:38:26.987759+00
d538090f-142e-4795-a17c-8cccea0a0ced;Oceanography;Study the physical and biological aspects of oceans;Science;🌊;"[""oceanography"",""climate"",""research"",""marine""]";"[""Data Analysis"",""Field Research"",""Physics""]";advanced;2026-04-04 06:38:26.987759+00
8998ca46-1086-4621-a09f-ded1c9d47cde;Sports Medicine;Treat and prevent athletic injuries;Healthcare;⚽;"[""sports"",""medicine"",""rehabilitation"",""fitness""]";"[""Anatomy"",""Rehabilitation"",""Diagnosis""]";advanced;2026-04-04 06:38:26.987759+00
8cb151e5-d646-4f79-9b5e-9f4079997e39;Ethnography;Study cultures through immersive fieldwork;Social Science;🗺️;"[""ethnography"",""anthropology"",""culture"",""research""]";"[""Field Work"",""Writing"",""Observation""]";intermediate;2026-04-04 06:38:26.987759+00
3f97e482-7cfb-4b6e-9cf8-9c4c0780bd14;Gemology;Evaluate and certify precious stones;Specialized;💎;"[""gemology"",""gems"",""luxury"",""appraisal""]";"[""Grading"",""Optics"",""Quality Control""]";intermediate;2026-04-04 06:38:26.987759+00
1ef80265-b868-49a1-8975-4738477be1cb;Puppetry Arts;Create and perform puppet shows;Performing Arts;🎭;"[""puppetry"",""performance"",""storytelling"",""craft""]";"[""Craft"",""Voice Acting"",""Storytelling""]";beginner;2026-04-04 06:38:26.987759+00
19a0831b-7307-498b-9007-e43be5752a06;Paleontology;Study prehistoric life through fossils;Science;🦴;"[""paleontology"",""fossils"",""geology"",""evolution""]";"[""Field Work"",""Analysis"",""Biology""]";advanced;2026-04-04 06:38:26.987759+00
49cb901b-833c-42fd-90bd-ec19a055ff6e;Urban Farming;Grow food in city environments;Agriculture;🌱;"[""farming"",""urban"",""sustainability"",""food""]";"[""Horticulture"",""Planning"",""Community""]";beginner;2026-04-04 06:38:26.987759+00
326bd4bd-1e44-4669-9fc5-b8746078afe8;Sound Engineering;Record, mix, and produce audio;Media;🎧;"[""audio"",""sound"",""music"",""production""]";"[""Mixing"",""DAW"",""Acoustics""]";intermediate;2026-04-04 06:38:26.987759+00
6ceba885-5110-49ab-8c87-420359279be5;Fragrance Design;Create perfumes and scent compositions;Specialized;🌸;"[""fragrance"",""perfume"",""chemistry"",""creativity""]";"[""Chemistry"",""Olfactory"",""Creativity""]";advanced;2026-04-04 06:38:26.987759+00
7eed3f2e-35df-477b-bb1f-1c415da38abb;Wildlife Photography;Capture animals in their natural habitats;Arts;📷;"[""photography"",""wildlife"",""nature"",""travel""]";"[""Photography"",""Patience"",""Field Skills""]";intermediate;2026-04-04 06:38:26.987759+00
6beb1bf9-df43-4688-b261-9695fe55ad95;Disaster Management;Plan and coordinate emergency responses;Public Service;🆘;"[""disaster"",""emergency"",""management"",""safety""]";"[""Planning"",""Leadership"",""GIS""]";intermediate;2026-04-04 06:38:26.987759+00
b0173825-0edf-45c7-806e-036e89f857bf;Calligraphy;Create beautiful lettering and typography;Arts;✒️;"[""calligraphy"",""art"",""lettering"",""design""]";"[""Hand Lettering"",""Typography"",""Patience""]";beginner;2026-04-04 06:38:26.987759+00
4c633ef5-a879-4749-9aec-72ec3a022b80;Brewing Science;Study the science behind brewing beverages;Food Science;🍺;"[""brewing"",""fermentation"",""food"",""science""]";"[""Chemistry"",""Quality Control"",""Taste""]";intermediate;2026-04-04 06:38:26.987759+00
aff0e572-14e8-45f8-bdf2-5e077250ad07;Restoration Ecology;Rehabilitate damaged ecosystems;Environmental;🌿;"[""ecology"",""restoration"",""environment"",""conservation""]";"[""Botany"",""GIS"",""Project Management""]";advanced;2026-04-04 06:38:26.987759+00
3f03fab0-5da4-435c-a0f9-5048e39b4a21;Ethical Hacking;Test systems for security vulnerabilities;Technology;🛡️;"[""hacking"",""security"",""cybersecurity"",""coding""]";"[""Pentesting"",""Networking"",""Linux""]";advanced;2026-04-04 06:38:26.987759+00
0411dff6-1477-46f8-a003-49d758b9010b;Sports Psychology;Help athletes optimize mental performance;Psychology;🧠;"[""psychology"",""sports"",""mental-health"",""performance""]";"[""Counseling"",""Analysis"",""Mindfulness""]";advanced;2026-04-04 06:38:26.987759+00
8f9f5daa-22a4-46e6-82cb-09d140b4995f;Cartography;Create maps and spatial visualizations;Geography;🗺️;"[""maps"",""gis"",""geography"",""data""]";"[""GIS"",""Remote Sensing"",""Design""]";intermediate;2026-04-04 06:38:26.987759+00
a2c26b69-be54-4cd6-948d-1b543a54d488;Heritage Conservation;Preserve historic buildings and artifacts;Heritage;🏰;"[""heritage"",""conservation"",""architecture"",""history""]";"[""Restoration"",""Documentation"",""Architecture""]";advanced;2026-04-04 06:38:26.987759+00
8ed19e90-f4c6-48d6-b3a9-fc805faa93bf;Behavioral Economics;Study psychological factors in economic decisions;Economics;🧪;"[""economics"",""psychology"",""behavior"",""research""]";"[""Statistics"",""Experimental Design"",""Research""]";advanced;2026-04-04 06:38:26.987759+00
e43f0188-3b35-4386-8e8d-93c16d79122f;Aviation;Fly aircraft and manage air operations;Aviation;✈️;"[""aviation"",""flying"",""pilot"",""aerospace""]";"[""Navigation"",""Physics"",""Communication""]";advanced;2026-04-04 06:38:26.987759+00
c0e3b6b9-29c9-4e04-a110-ede8d46cbdde;Renewable Energy;Design and implement clean energy solutions;Energy;☀️;"[""solar"",""wind"",""energy"",""sustainability""]";"[""Engineering"",""Project Management"",""Analysis""]";intermediate;2026-04-04 06:38:26.987759+00
3ce5bb13-9375-411a-b94b-232bd0304335;Biomedical Engineering;Develop medical devices and healthcare tech;Engineering;⚕️;"[""biomedical"",""engineering"",""medical"",""devices""]";"[""Engineering"",""Biology"",""Programming""]";advanced;2026-04-04 06:38:26.987759+00
85a74087-29b0-485e-95ad-684632d842fd;Museum Curation;Design exhibitions and manage collections;Culture;🏛️;"[""museum"",""curation"",""exhibition"",""art""]";"[""Design"",""History"",""Communication""]";intermediate;2026-04-04 06:38:26.987759+00
8d5150ab-80d4-429c-b8c1-978eba171389;Patent Law;Protect intellectual property and inventions;Law;⚖️;"[""patent"",""law"",""ip"",""legal""]";"[""Legal Writing"",""Research"",""Technical Knowledge""]";advanced;2026-04-04 06:38:26.987759+00
8cf5d0e7-2805-4e3e-831d-a36c90f32717;Agricultural Tech;Apply technology to farming and agriculture;AgriTech;🚜;"[""agritech"",""farming"",""iot"",""automation""]";"[""IoT"",""Engineering"",""Agriculture""]";intermediate;2026-04-04 06:38:26.987759+00
1e9c6046-ea1a-4054-87b9-be8cea8bf6cb;Puppetry & Animation;Combine traditional puppetry with digital animation;Arts & Tech;🎬;"[""animation"",""puppetry"",""digital"",""creative""]";"[""Animation"",""Storytelling"",""Software""]";intermediate;2026-04-04 06:38:26.987759+00
65db878b-aefe-4c66-81d1-679b1ed52c57;Cryptography;Design secure communication systems;Computer Science;🔐;"[""cryptography"",""security"",""math"",""programming""]";"[""Mathematics"",""Programming"",""Algorithms""]";advanced;2026-04-04 06:38:26.987759+00
1f67eb71-abc2-473e-b389-39fed65d8a98;Waste Management;Design sustainable waste processing systems;Environmental;♻️;"[""waste"",""recycling"",""sustainability"",""management""]";"[""Systems Thinking"",""Planning"",""Engineering""]";intermediate;2026-04-04 06:38:26.987759+00
7c69b214-6a6a-40ab-8c4d-075c877bf25c;Community Radio;Run radio stations serving local communities;Media;📻;"[""radio"",""community"",""media"",""broadcasting""]";"[""Broadcasting"",""Content"",""Communication""]";beginner;2026-04-04 06:38:26.987759+00
acf74115-d67b-42d5-8530-f0536fdd3827;Actuarial Science;Assess financial risk with mathematics;Finance;📊;"[""actuarial"",""statistics"",""risk"",""insurance""]";"[""Statistics"",""Modeling"",""Programming""]";advanced;2026-04-04 06:38:26.987759+00
c02a420c-0682-439b-bc2b-77d3caec8da9;Occupational Therapy;Help patients regain daily life skills;Healthcare;🤲;"[""therapy"",""rehabilitation"",""healthcare"",""wellness""]";"[""Assessment"",""Rehabilitation"",""Empathy""]";intermediate;2026-04-04 06:38:26.987759+00
19829bdc-b204-4c19-a27c-f9bcb989f118;Food Technology;Research and develop food products;Food Science;🍲;"[""food"",""technology"",""safety"",""processing""]";"[""Chemistry"",""Quality Control"",""Innovation""]";intermediate;2026-04-04 06:38:26.987759+00
b6db58c5-29bc-4846-bc22-916fb1d33c40;Robotics;Design and build intelligent machines;Engineering;🤖;"[""robotics"",""automation"",""ai"",""engineering""]";"[""Programming"",""Electronics"",""Mechanics""]";advanced;2026-04-04 06:38:26.987759+00
24341bae-4106-40b8-a52e-44202b0ae3da;Sommelier;Expert wine selection and pairing;Hospitality;🍷;"[""wine"",""hospitality"",""tasting"",""service""]";"[""Taste Analysis"",""Communication"",""Business""]";intermediate;2026-04-04 06:38:26.987759+00
795de390-f092-44fd-bad2-ab13a3754ea2;Forestry;Manage and protect forest ecosystems;Environmental;🌲;"[""forestry"",""ecology"",""wildlife"",""conservation""]";"[""Ecology"",""GIS"",""Field Work""]";intermediate;2026-04-04 06:38:26.987759+00
c1429309-aeaf-49ce-9b1f-359d0f9db171;Sign Language Interpretation;Facilitate communication for the hearing impaired;Communication;🤟;"[""sign-language"",""interpretation"",""accessibility"",""communication""]";"[""Sign Language"",""Communication"",""Empathy""]";intermediate;2026-04-04 06:38:26.987759+00
d0401f88-b6fe-401e-a713-b3d696e04e51;Meteorology;Study and forecast weather patterns;Science;🌤️;"[""weather"",""meteorology"",""climate"",""science""]";"[""Data Analysis"",""Physics"",""Communication""]";advanced;2026-04-04 06:38:26.987759+00
a95836a5-516f-4662-9778-c36c8ce66408;Library Science;Manage information resources and libraries;Information Science;📚;"[""library"",""information"",""knowledge"",""organization""]";"[""Cataloging"",""Digital Systems"",""Research""]";beginner;2026-04-04 06:38:26.987759+00
f9067a15-06dc-43a0-8358-58af9c6044ea;Archaeology Conservation;Preserve archaeological artifacts;Heritage;🏺;"[""conservation"",""archaeology"",""preservation"",""heritage""]";"[""Chemistry"",""Documentation"",""Restoration""]";advanced;2026-04-04 06:38:26.987759+00
1abe96a2-f33c-4d54-a293-dcc2850990ec;Tourism Management;Plan and manage travel experiences;Hospitality;🧳;"[""tourism"",""travel"",""hospitality"",""management""]";"[""Planning"",""Marketing"",""Communication""]";beginner;2026-04-04 06:38:26.987759+00
e3c716dc-b00b-45f8-97fd-fd648e6842e9;Toxicology;Study the effects of chemicals on living organisms;Science;☣️;"[""toxicology"",""chemistry"",""health"",""research""]";"[""Chemistry"",""Biology"",""Analysis""]";advanced;2026-04-04 06:38:26.987759+00
08e143be-d753-4f4c-bab0-02394859f2d9;Agroforestry;Combine agriculture with forest management;Agriculture;🌳;"[""agroforestry"",""farming"",""sustainability"",""trees""]";"[""Agriculture"",""Ecology"",""Planning""]";intermediate;2026-04-04 06:38:26.987759+00
e5de0c16-2aaf-4b1f-9150-086d34352ea8;Industrial Design;Design functional products for manufacturing;Design;🔧;"[""industrial"",""product"",""design"",""manufacturing""]";"[""CAD"",""Prototyping"",""Ergonomics""]";intermediate;2026-04-04 06:38:26.987759+00
5c3857d5-ff62-4dee-8572-d65fe498172b;Vedic Mathematics;Apply ancient Indian mathematical methods;Education;🔢;"[""mathematics"",""vedic"",""education"",""teaching""]";"[""Mathematics"",""Teaching"",""Logic""]";beginner;2026-04-04 06:38:26.987759+00
ccecd68d-7e29-49c5-990c-be9cb95230b5;Sports Coaching;Train athletes to improve performance;Sports;🏋️;"[""coaching"",""sports"",""fitness"",""training""]";"[""Coaching"",""Fitness"",""Communication""]";intermediate;2026-04-04 06:38:26.987759+00
c0d91227-7cf4-4d8c-9940-207d9475b2c7;Handloom Weaving;Traditional fabric weaving techniques;Craft;🧶;"[""weaving"",""handloom"",""craft"",""textile""]";"[""Weaving"",""Pattern"",""Craftsmanship""]";beginner;2026-04-04 06:38:26.987759+00
a3599dc1-b9ee-41ec-af60-36f7d8d10434;Drone Technology;Operate and program unmanned aerial vehicles;Technology;🛸;"[""drone"",""uav"",""technology"",""aerial""]";"[""Piloting"",""Programming"",""Photography""]";intermediate;2026-04-04 06:38:26.987759+00
43ada486-5263-4277-b2e6-cf96bdf2752e;Counseling Psychology;Provide therapeutic support for mental health;Psychology;💬;"[""counseling"",""psychology"",""therapy"",""mental-health""]";"[""Listening"",""Empathy"",""Assessment""]";advanced;2026-04-04 06:38:26.987759+00
31683f79-bd4b-4a74-a030-bd00a59bd7f6;Sustainable Fashion;Design eco-friendly clothing and accessories;Fashion;👗;"[""fashion"",""sustainability"",""design"",""ethical""]";"[""Design"",""Sustainability"",""Materials""]";intermediate;2026-04-04 06:38:26.987759+00
cfed4178-739a-410d-9c27-41c507155611;Ayurvedic Medicine;Practice traditional Indian healing systems;Alternative Medicine;🌿;"[""ayurveda"",""medicine"",""healing"",""traditional""]";"[""Ayurveda"",""Herbology"",""Diagnosis""]";advanced;2026-04-04 06:38:26.987759+00
d106b307-d810-45ea-912c-e278886512d0;Space Technology;Develop satellite and space mission systems;Aerospace;🚀;"[""space"",""aerospace"",""satellite"",""isro""]";"[""Engineering"",""Physics"",""Programming""]";advanced;2026-04-04 06:38:26.987759+00
51b73051-f2d2-43ce-ba6b-48b35150664a;Data Journalism;Tell stories using data analysis and visualization;Journalism;📰;"[""journalism"",""data"",""storytelling"",""visualization""]";"[""Data Analysis"",""Writing"",""Visualization""]";intermediate;2026-04-04 06:38:26.987759+00
1559d782-a404-4cf9-98ce-457eabd5cd12;Yoga Therapy;Use yoga for therapeutic and healing purposes;Wellness;🧘;"[""yoga"",""therapy"",""wellness"",""healing""]";"[""Yoga"",""Anatomy"",""Mindfulness""]";intermediate;2026-04-04 06:38:26.987759+00
f86c80c1-7718-43e5-8a06-a9de485c06c9;Comic Art;Create graphic novels and comic illustrations;Arts;🎨;"[""comics"",""illustration"",""art"",""storytelling""]";"[""Drawing"",""Storytelling"",""Design""]";beginner;2026-04-04 06:38:26.987759+00
640bce48-d63a-4d9e-a9c4-3115adbce0a2;Blockchain Development;Build decentralized applications;Technology;⛓️;"[""blockchain"",""web3"",""crypto"",""development""]";"[""Solidity"",""Smart Contracts"",""Programming""]";advanced;2026-04-04 06:38:26.987759+00
b10e23a6-e1d0-44ed-87c0-5d7743c01ad1;Tea Sommelier;Expert in tea varieties, brewing, and pairing;Hospitality;🍵;"[""tea"",""tasting"",""hospitality"",""culture""]";"[""Taste"",""Knowledge"",""Communication""]";beginner;2026-04-04 06:38:26.987759+00
